Year_of_study,Field_of_study,Ever_used_platform,Time_investing,Main_platform_type,Confidence_in_terms,Return_in_30_years,Purchasing_power_q,Single_stock_risk_q,Risk_Reward,Inflation_time_value_q,Diversification_purpose_q,Inflation_rate_q,Knowledge_improved,Confidence_interpreting_data,Features_used_most,Regretted_misinterpretation,Frequency_based_on_app_data,Greater_influence,Apps_oversimplify,Likely_to_use_new_features,Data_viz_helps
2nd year,Humanities / Arts,Yes,6-12 months,Robo-advisor,Not confident,Not Sure,It stays the same,Less risky,Higher risk generally leads to lower potential reward,£110 in one year,Not sure,Exactly 0% interest,No,Somewhat confident,Market news,No,Sometimes,Social media trends,Agree,Likely,Disagree
Postgraduate,Other,Yes,Less than 6 months,Trading app,Somewhat confident,Compound interest/growth,It increases,As risky,Risk and reward are not related,£110 in one year,To reduce the overall risk of the portfolio,Exactly 0% interest,Slightly,Somewhat confident,Portfolio analytics,Yes,Rarely,Advice from others,Strongly agree,Very unlikely,Neutral
3rd year,Business / Economics,No,N/A - Not an investor,N/A - Not an investor,Confident,Capital (Your Investment),It increases,As risky,Risk and reward are not related,No difference,Not sure,Less than 10% interest,N/A - Not an investor,Not confident,Portfolio analytics,No,Never,Personal decisions,Disagree,Very unlikely,Neutral
2nd year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Not Sure,It increases,As risky,Higher risk generally leads to higher potential reward,£110 in one year,Not sure,Exactly 10% interest,N/A - Not an investor,Confident,AI or data insights,No,Sometimes,Personal decisions,Strongly agree,Very unlikely,Neutral
Postgraduate,Engineering/ Science,Yes,6-12 months,Trading app,Confident,Compound interest/growth,It stays the same,As risky,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 0% interest,Slightly,Very confident,Market news,No,Rarely,Data and analytics,Agree,Neutral,Agree
3rd year,Humanities / Arts,Yes,1-2 years,Robo-advisor,Confident,Not Sure,Not sure,More risky than investing in a diversified fund,Higher risk generally leads to lower potential reward,£110 in one year,To minimize fees and expenses,Less than 10% interest,Significantly,Not confident,Portfolio analytics,No,Never,Social media trends,Agree,Neutral,Strongly agree
Postgraduate,Humanities / Arts,Yes,1-2 years,Trading app,Somewhat confident,Compound interest/growth,It decreases,Not sure,Higher risk generally leads to lower potential reward,Not sure,To guarantee higher overall returns,Exactly 10% interest,Slightly,Somewhat confident,Other,Yes,Sometimes,Data and analytics,Agree,Neutral,Agree
2nd year,Engineering/ Science,Yes,1-2 years,Other,Confident,Compound interest/growth,It decreases,Less risky,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Moderately,Confident,Other,No,Sometimes,Personal decisions,Disagree,Neutral,Neutral
2nd year,Other,Yes,6-12 months,Trading app,Very confident,Capital (Your Investment),Not sure,As risky,Higher risk generally leads to higher potential reward,Not sure,To reduce the overall risk of the portfolio,Not sure,Moderately,Somewhat confident,Market news,Yes,Rarely,Data and analytics,Agree,Very unlikely,Strongly agree
2nd year,Other,Yes,Over 2 years,Trading app,Somewhat confident,Capital (Your Investment),It stays the same,Less risky,Higher risk generally leads to higher potential reward,No difference,Not sure,Less than 10% interest,Moderately,Confident,Stock performance charts,No,Never,Advice from others,Strongly agree,Unlikely,Disagree
Postgraduate,Business / Economics,Yes,6-12 months,Trading app,Confident,Compound interest/growth,It decreases,As risky,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Less than 10% interest,Moderately,Somewhat confident,Other,No,Always,Personal decisions,Strongly disagree,Unlikely,Agree
Postgraduate,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Confident,Not Sure,It decreases,More risky than investing in a diversified fund,Risk and reward are not related,No difference,Not sure,Exactly 10% interest,N/A - Not an investor,Very confident,Stock performance charts,Not sure,Always,Data and analytics,Neutral,Neutral,Strongly agree
2nd year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Very confident,Will be equal,It decreases,As risky,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Not confident,Portfolio analytics,No,Sometimes,Data and analytics,Neutral,Likely,Strongly agree
3rd year,Humanities / Arts,Yes,6-12 months,Robo-advisor,Very confident,Compound interest/growth,It stays the same,Less risky,Higher risk generally leads to lower potential reward,£100 today,To reduce the overall risk of the portfolio,Less than 10% interest,Slightly,Somewhat confident,AI or data insights,No,Rarely,Social media trends,Neutral,Likely,Agree
2nd year,Business / Economics,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Compound interest/growth,It stays the same,More risky than investing in a diversified fund,Risk and reward are not related,£110 in one year,To guarantee higher overall returns,Exactly 10% interest,N/A - Not an investor,Very confident,Market news,No,Often,Personal decisions,Agree,Very likely,Agree
3rd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Capital (Your Investment),It increases,Not sure,Not sure,No difference,To reduce the overall risk of the portfolio,Not sure,N/A - Not an investor,Somewhat confident,Stock performance charts,Yes,Sometimes,Data and analytics,Agree,Very unlikely,Neutral
Postgraduate,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Very confident,Capital (Your Investment),Not sure,More risky than investing in a diversified fund,Not sure,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Somewhat confident,Stock performance charts,No,Sometimes,Advice from others,Strongly agree,Very likely,Strongly agree
3rd year,Business / Economics,Yes,6-12 months,Trading app,Confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,Not sure,To reduce the overall risk of the portfolio,Exactly 10% interest,Slightly,Confident,Portfolio analytics,No,Often,Data and analytics,Neutral,Likely,Disagree
Postgraduate,Other,Yes,6-12 months,Trading app,Very confident,Capital (Your Investment),It increases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£100 today,To guarantee higher overall returns,Less than 10% interest,Slightly,Confident,Stock performance charts,No,Often,Data and analytics,Strongly agree,Very unlikely,Agree
2nd year,Humanities / Arts,Yes,Less than 6 months,Trading app,Not confident,Capital (Your Investment),Not sure,Not sure,Higher risk generally leads to lower potential reward,£100 today,Not sure,Exactly 0% interest,Slightly,Confident,Market news,Not sure,Sometimes,Personal decisions,Agree,Unlikely,Neutral
2nd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Confident,Compound interest/growth,It increases,Not sure,Not sure,£100 today,To reduce the overall risk of the portfolio,Exactly 0% interest,N/A - Not an investor,Not confident,AI or data insights,Yes,Never,Data and analytics,Strongly agree,Neutral,Agree
3rd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Compound interest/growth,It increases,More risky than investing in a diversified fund,Risk and reward are not related,£100 today,Not sure,Not sure,N/A - Not an investor,Somewhat confident,Market news,No,Sometimes,Advice from others,Agree,Neutral,Neutral
Postgraduate,Other,No,N/A - Not an investor,N/A - Not an investor,Not confident,Capital (Your Investment),It increases,More risky than investing in a diversified fund,Higher risk generally leads to lower potential reward,£100 today,To reduce the overall risk of the portfolio,Exactly 0% interest,N/A - Not an investor,Very confident,Portfolio analytics,No,Sometimes,Social media trends,Strongly agree,Neutral,Agree
1st year,Engineering/ Science,Yes,1-2 years,Trading app,Confident,Capital (Your Investment),It increases,More risky than investing in a diversified fund,Risk and reward are not related,£110 in one year,Not sure,Not sure,No,Very confident,Stock performance charts,No,Always,Data and analytics,Agree,Unlikely,Disagree
2nd year,Other,Yes,Less than 6 months,Robo-advisor,Not confident,Capital (Your Investment),It increases,Less risky,Higher risk generally leads to higher potential reward,No difference,To reduce the overall risk of the portfolio,Exactly 10% interest,Slightly,Very confident,Portfolio analytics,No,Sometimes,Advice from others,Agree,Neutral,Neutral
2nd year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Confident,Not Sure,It increases,Not sure,Higher risk generally leads to higher potential reward,£100 today,To minimize fees and expenses,Exactly 10% interest,N/A - Not an investor,Somewhat confident,Stock performance charts,No,Rarely,Social media trends,Strongly agree,Very unlikely,Agree
2nd year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Will be equal,Not sure,Less risky,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Not sure,N/A - Not an investor,Confident,Portfolio analytics,No,Sometimes,Advice from others,Strongly agree,Neutral,Agree
2nd year,Business / Economics,Yes,Less than 6 months,Trading app,Confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to lower potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Slightly,Confident,Stock performance charts,No,Often,Advice from others,Disagree,Likely,Neutral
3rd year,Other,Yes,6-12 months,Robo-advisor,Not confident,Not Sure,Not sure,As risky,Higher risk generally leads to lower potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Moderately,Somewhat confident,AI or data insights,No,Never,Personal decisions,Strongly agree,Very unlikely,Disagree
Postgraduate,Business / Economics,Yes,1-2 years,Trading app,Very confident,Compound interest/growth,Not sure,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,No difference,To reduce the overall risk of the portfolio,Exactly 10% interest,Moderately,Confident,Market news,No,Often,Data and analytics,Strongly disagree,Likely,Agree
2nd year,Humanities / Arts,Yes,Over 2 years,Robo-advisor,Not confident,Compound interest/growth,It increases,As risky,Higher risk generally leads to lower potential reward,Not sure,Not sure,Less than 10% interest,Moderately,Not confident,Portfolio analytics,No,Rarely,Personal decisions,Strongly agree,Neutral,Agree
2nd year,Other,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Not Sure,It increases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,No difference,To minimize fees and expenses,Not sure,N/A - Not an investor,Confident,Market news,No,Never,Advice from others,Agree,Unlikely,Neutral
2nd year,Business / Economics,Yes,6-12 months,Trading app,Very confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To guarantee higher overall returns,Exactly 10% interest,Significantly,Very confident,Stock performance charts,No,Often,Data and analytics,Strongly disagree,Very likely,Strongly agree
3rd year,Business / Economics,Yes,6-12 months,Trading app,Somewhat confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Risk and reward are not related,£100 today,To reduce the overall risk of the portfolio,Not sure,Slightly,Very confident,Stock performance charts,No,Sometimes,Advice from others,Neutral,Neutral,Strongly agree
Postgraduate,Humanities / Arts,Yes,6-12 months,Trading app,Somewhat confident,Will be equal,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,No difference,Not sure,Not sure,Slightly,Confident,AI or data insights,No,Sometimes,Advice from others,Agree,Unlikely,Neutral
2nd year,Business / Economics,No,N/A - Not an investor,N/A - Not an investor,Not confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Confident,Market news,No,Sometimes,Data and analytics,Strongly agree,Very unlikely,Agree
3rd year,Business / Economics,Yes,Less than 6 months,Other,Very confident,Compound interest/growth,Not sure,Less risky,Not sure,Not sure,To reduce the overall risk of the portfolio,Less than 10% interest,Slightly,Confident,AI or data insights,No,Often,Data and analytics,Neutral,Likely,Neutral
2nd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Confident,Will be equal,It decreases,As risky,Risk and reward are not related,Not sure,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Confident,Market news,No,Never,Social media trends,Strongly agree,Unlikely,Strongly agree
1st year,Engineering/ Science,Yes,6-12 months,Trading app,Confident,Not Sure,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to lower potential reward,£100 today,To reduce the overall risk of the portfolio,Exactly 10% interest,Moderately,Confident,Market news,No,Often,Advice from others,Strongly agree,Very likely,Neutral
Postgraduate,Business / Economics,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Compound interest/growth,Not sure,As risky,Not sure,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Very confident,AI or data insights,No,Often,Data and analytics,Agree,Very likely,Disagree
3rd year,Business / Economics,Yes,Less than 6 months,Trading app,Confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Moderately,Very confident,Portfolio analytics,No,Sometimes,Data and analytics,Strongly disagree,Likely,Agree
1st year,Business / Economics,Yes,1-2 years,Trading app,Somewhat confident,Compound interest/growth,It increases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£100 today,To minimize fees and expenses,Less than 10% interest,Slightly,Somewhat confident,Other,No,Never,Social media trends,Strongly agree,Neutral,Strongly agree
Postgraduate,Business / Economics,No,N/A - Not an investor,N/A - Not an investor,Confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To minimize fees and expenses,Not sure,N/A - Not an investor,Confident,AI or data insights,No,Sometimes,Data and analytics,Agree,Likely,Agree
3rd year,Business / Economics,Yes,Less than 6 months,Trading app,Not confident,Not Sure,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,Not sure,Less than 10% interest,Moderately,Confident,Portfolio analytics,Yes,Never,Advice from others,Neutral,Unlikely,Neutral
3rd year,Business / Economics,Yes,6-12 months,Other,Confident,Compound interest/growth,It stays the same,More risky than investing in a diversified fund,Not sure,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Significantly,Very confident,Market news,No,Often,Data and analytics,Neutral,Very likely,Strongly agree
Postgraduate,Other,No,N/A - Not an investor,N/A - Not an investor,Very confident,Compound interest/growth,Not sure,More risky than investing in a diversified fund,Risk and reward are not related,No difference,To guarantee higher overall returns,Not sure,N/A - Not an investor,Very confident,Stock performance charts,No,Sometimes,Data and analytics,Disagree,Very likely,Disagree
1st year,Humanities / Arts,Yes,1-2 years,Robo-advisor,Confident,Not Sure,It decreases,Less risky,Higher risk generally leads to lower potential reward,Not sure,To guarantee higher overall returns,Not sure,Significantly,Not confident,Stock performance charts,No,Often,Advice from others,Strongly disagree,Neutral,Disagree
1st year,Business / Economics,Yes,6-12 months,Trading app,Very confident,Compound interest/growth,Not sure,As risky,Risk and reward are not related,£110 in one year,Not sure,Exactly 10% interest,Slightly,Not confident,Stock performance charts,No,Sometimes,Data and analytics,Strongly agree,Very likely,Agree
3rd year,Other,Yes,6-12 months,Robo-advisor,Not confident,Capital (Your Investment),Not sure,As risky,Higher risk generally leads to lower potential reward,Not sure,Not sure,Exactly 0% interest,Slightly,Somewhat confident,Portfolio analytics,No,Sometimes,Social media trends,Agree,Very unlikely,Agree
3rd year,Business / Economics,Yes,6-12 months,Trading app,Very confident,Compound interest/growth,It increases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Slightly,Very confident,Other,No,Sometimes,Data and analytics,Strongly disagree,Very likely,Strongly agree
Postgraduate,Other,No,N/A - Not an investor,N/A - Not an investor,Very confident,Capital (Your Investment),It stays the same,More risky than investing in a diversified fund,Risk and reward are not related,£110 in one year,Not sure,Exactly 0% interest,N/A - Not an investor,Confident,Market news,No,Sometimes,Data and analytics,Neutral,Unlikely,Strongly agree
1st year,Humanities / Arts,Yes,6-12 months,Robo-advisor,Somewhat confident,Not Sure,It stays the same,As risky,Risk and reward are not related,£100 today,To minimize fees and expenses,Not sure,Slightly,Not confident,Portfolio analytics,No,Rarely,Social media trends,Neutral,Neutral,Neutral
2nd year,Other,Yes,1-2 years,Trading app,Somewhat confident,Will be equal,Not sure,Not sure,Not sure,£110 in one year,To minimize fees and expenses,Exactly 10% interest,No,Somewhat confident,Stock performance charts,Yes,Rarely,Personal decisions,Agree,Unlikely,Strongly agree
2nd year,Other,Yes,1-2 years,Robo-advisor,Somewhat confident,Capital (Your Investment),It increases,Less risky,Not sure,£110 in one year,To reduce the overall risk of the portfolio,Exactly 0% interest,Slightly,Somewhat confident,Portfolio analytics,No,Never,Personal decisions,Disagree,Very unlikely,Neutral
Postgraduate,Other,No,N/A - Not an investor,N/A - Not an investor,Confident,Will be equal,Not sure,More risky than investing in a diversified fund,Risk and reward are not related,Not sure,Not sure,Not sure,N/A - Not an investor,Confident,Portfolio analytics,No,Sometimes,Social media trends,Strongly agree,Unlikely,Agree
Postgraduate,Business / Economics,Yes,6-12 months,Trading app,Very confident,Capital (Your Investment),It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,No difference,To reduce the overall risk of the portfolio,Exactly 10% interest,Slightly,Very confident,Market news,Yes,Often,Data and analytics,Strongly disagree,Likely,Strongly agree
1st year,Engineering/ Science,Yes,6-12 months,Trading app,Confident,Compound interest/growth,It decreases,Not sure,Higher risk generally leads to higher potential reward,£110 in one year,Not sure,Not sure,Slightly,Somewhat confident,Stock performance charts,No,Rarely,Advice from others,Agree,Neutral,Agree
2nd year,Humanities / Arts,Yes,Over 2 years,Robo-advisor,Somewhat confident,Not Sure,It increases,As risky,Not sure,£110 in one year,To minimize fees and expenses,Exactly 10% interest,Significantly,Somewhat confident,Other,No,Rarely,Data and analytics,Agree,Likely,Agree
2nd year,Humanities / Arts,Yes,1-2 years,Robo-advisor,Somewhat confident,Capital (Your Investment),It decreases,More risky than investing in a diversified fund,Not sure,£110 in one year,To reduce the overall risk of the portfolio,Exactly 0% interest,Significantly,Very confident,Stock performance charts,No,Never,Personal decisions,Agree,Neutral,Agree
1st year,Engineering/ Science,Yes,Less than 6 months,Trading app,Very confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Not sure,£110 in one year,To guarantee higher overall returns,Exactly 10% interest,Slightly,Very confident,Market news,No,Often,Data and analytics,Strongly disagree,Likely,Agree
Postgraduate,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Very confident,Compound interest/growth,It decreases,Less risky,Higher risk generally leads to higher potential reward,Not sure,To reduce the overall risk of the portfolio,Not sure,N/A - Not an investor,Confident,Portfolio analytics,Not sure,Sometimes,Personal decisions,Strongly agree,Unlikely,Neutral
1st year,Other,Yes,6-12 months,Robo-advisor,Not confident,Capital (Your Investment),It increases,Less risky,Not sure,Not sure,To guarantee higher overall returns,Less than 10% interest,Slightly,Somewhat confident,Stock performance charts,Not sure,Never,Personal decisions,Strongly agree,Very unlikely,Disagree
1st year,Business / Economics,Yes,1-2 years,Trading app,Not confident,Compound interest/growth,It increases,Less risky,Higher risk generally leads to higher potential reward,£100 today,To guarantee higher overall returns,Exactly 10% interest,Slightly,Not confident,Market news,No,Often,Personal decisions,Agree,Very unlikely,Agree
2nd year,Business / Economics,No,N/A - Not an investor,N/A - Not an investor,Confident,Compound interest/growth,It stays the same,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Very confident,Portfolio analytics,Yes,Often,Data and analytics,Strongly disagree,Very likely,Strongly agree
Postgraduate,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Confident,Not Sure,Not sure,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To minimize fees and expenses,Exactly 10% interest,N/A - Not an investor,Somewhat confident,Stock performance charts,No,Sometimes,Advice from others,Agree,Very likely,Neutral
2nd year,Business / Economics,Yes,6-12 months,Trading app,Confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£100 today,To reduce the overall risk of the portfolio,Exactly 10% interest,Significantly,Confident,Portfolio analytics,No,Sometimes,Personal decisions,Disagree,Likely,Disagree
Postgraduate,Business / Economics,Yes,1-2 years,Trading app,Very confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Significantly,Confident,AI or data insights,Yes,Always,Data and analytics,Strongly disagree,Very likely,Agree
3rd year,Other,Yes,Less than 6 months,Robo-advisor,Confident,Compound interest/growth,Not sure,More risky than investing in a diversified fund,Risk and reward are not related,Not sure,To reduce the overall risk of the portfolio,Exactly 10% interest,No,Confident,Stock performance charts,No,Rarely,Data and analytics,Agree,Neutral,Agree
Postgraduate,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Confident,Will be equal,It decreases,Less risky,Risk and reward are not related,£110 in one year,Not sure,Exactly 10% interest,N/A - Not an investor,Not confident,Stock performance charts,No,Rarely,Personal decisions,Strongly agree,Neutral,Neutral
Postgraduate,Business / Economics,Yes,6-12 months,Trading app,Somewhat confident,Will be equal,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,Not sure,To reduce the overall risk of the portfolio,Exactly 0% interest,Significantly,Somewhat confident,Market news,No,Rarely,Personal decisions,Agree,Likely,Agree
2nd year,Other,Yes,6-12 months,Robo-advisor,Confident,Compound interest/growth,It stays the same,More risky than investing in a diversified fund,Higher risk generally leads to lower potential reward,£100 today,To guarantee higher overall returns,Exactly 0% interest,Slightly,Confident,Stock performance charts,No,Rarely,Personal decisions,Strongly disagree,Very likely,Agree
1st year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Very confident,Compound interest/growth,It stays the same,As risky,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Confident,Portfolio analytics,Not sure,Sometimes,Personal decisions,Disagree,Very unlikely,Strongly agree
2nd year,Other,Yes,6-12 months,Robo-advisor,Not confident,Not Sure,It increases,Less risky,Risk and reward are not related,No difference,To guarantee higher overall returns,Less than 10% interest,No,Very confident,Portfolio analytics,No,Sometimes,Advice from others,Agree,Unlikely,Agree
2nd year,Business / Economics,Yes,Less than 6 months,Trading app,Somewhat confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£100 today,To minimize fees and expenses,Exactly 0% interest,Slightly,Confident,Market news,No,Rarely,Social media trends,Agree,Very unlikely,Disagree
1st year,Business / Economics,Yes,Less than 6 months,Trading app,Not confident,Compound interest/growth,It decreases,Not sure,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Not sure,Moderately,Confident,Market news,No,Sometimes,Data and analytics,Agree,Unlikely,Neutral
3rd year,Humanities / Arts,Yes,1-2 years,Robo-advisor,Confident,Compound interest/growth,It increases,As risky,Risk and reward are not related,£100 today,Not sure,Less than 10% interest,Significantly,Confident,Portfolio analytics,Yes,Never,Advice from others,Agree,Unlikely,Disagree
Postgraduate,Humanities / Arts,Yes,Less than 6 months,Robo-advisor,Confident,Capital (Your Investment),It increases,More risky than investing in a diversified fund,Higher risk generally leads to lower potential reward,No difference,To guarantee higher overall returns,Exactly 10% interest,Significantly,Not confident,Stock performance charts,Yes,Rarely,Advice from others,Strongly agree,Unlikely,Agree
1st year,Business / Economics,Yes,1-2 years,Trading app,Very confident,Compound interest/growth,It decreases,As risky,Risk and reward are not related,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,No,Very confident,Stock performance charts,No,Often,Data and analytics,Disagree,Very likely,Agree
2nd year,Humanities / Arts,Yes,Less than 6 months,Trading app,Very confident,Will be equal,It decreases,As risky,Higher risk generally leads to higher potential reward,No difference,To reduce the overall risk of the portfolio,Not sure,Slightly,Confident,AI or data insights,No,Never,Data and analytics,Strongly agree,Unlikely,Agree
1st year,Business / Economics,Yes,Less than 6 months,Trading app,Very confident,Compound interest/growth,It increases,More risky than investing in a diversified fund,Risk and reward are not related,No difference,To guarantee higher overall returns,Less than 10% interest,Slightly,Very confident,Portfolio analytics,Yes,Sometimes,Data and analytics,Disagree,Neutral,Strongly agree
2nd year,Engineering/ Science,Yes,1-2 years,Robo-advisor,Confident,Compound interest/growth,It decreases,Not sure,Higher risk generally leads to higher potential reward,£110 in one year,To minimize fees and expenses,Exactly 10% interest,Slightly,Very confident,Other,No,Sometimes,Data and analytics,Neutral,Neutral,Neutral
